zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,external_channel_activity_basis,prebound_external_channel_species,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
24.0,0,41000,True,0.0704842934546467,100,2552,0.0704842934546467,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,28,17,11,34,34,187,0,1.3402044773101807
24.0,1,41001,True,0.04797541174876154,100,1648,0.04797541174876154,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,17,11,6,22,22,121,0,0.8765239715576172
24.0,2,41002,True,0.08129886979000034,100,2610,0.08129886979000034,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,25,14,11,28,28,154,0,1.2722876071929932
24.0,3,41003,True,0.08724330264154093,100,3155,0.08724330264154093,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,34,18,16,36,36,198,0,1.5955955982208252
24.0,4,41004,True,0.0897038810811146,100,2016,0.0897038810811146,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,18,7,11,14,14,77,0,1.1000168323516846
24.0,5,41005,True,0.040278145756366825,100,2067,0.040278145756366825,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,17,7,10,14,14,77,0,1.1274926662445068
24.0,6,41006,True,0.063726929965207,100,1773,0.063726929965207,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,24,17,7,34,34,187,0,0.9317209720611572
24.0,7,41007,True,0.036864864390000855,100,1875,0.036864864390000855,0.04027177752004497,3.928944291574762,0.9822360728936905,20.32018637669447,0.9709169275967708,25.02323329107775,0.9709169275967708,3.928944291574762,20.32018637669447,0.7741026228085216,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,17,8,9,16,16,88,0,0.9399449825286865
36.0,0,41100,True,0.041353599539069315,100,2366,0.041353599539069315,0.05923182662129975,5.895491094233364,0.982581849038894,19.91874800859769,0.9614477267721766,26.954912410494526,0.9614477267721766,5.895491094233364,19.91874800859769,1.1406733076634736,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,38,23,15,46,46,253,0,1.2695260047912598
36.0,1,41101,True,0.051982756701597965,100,2100,0.051982756701597965,0.05923182662129975,5.895491094233364,0.982581849038894,19.91874800859769,0.9614477267721766,26.954912410494526,0.9614477267721766,5.895491094233364,19.91874800859769,1.1406733076634736,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,29,21,8,42,42,231,0,1.1142444610595703
