zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
3.38305,0,41000,True,118.28904561428361,100,867249,118.28904561428361,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,744,724,20,1448,1448,7964,0,24.069587230682373
3.38305,1,41001,True,41.880162200062536,100,887337,41.880162200062536,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,637,615,22,1230,1230,6765,0,24.117722749710083
3.38305,2,41002,True,74.72547596607313,100,1253691,74.72547596607313,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,853,824,29,1648,1648,9064,0,34.26342487335205
3.38305,3,41003,True,143.49716558210469,100,1004105,143.49716558210469,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,939,912,27,1824,1824,10032,0,28.243687629699707
3.38305,4,41004,True,23.082170627945388,100,915534,23.082170627945388,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,621,589,32,1178,1178,6479,0,24.832786798477173
3.38305,5,41005,True,353.10855975351046,100,1271281,353.10855975351046,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,1598,1566,32,3132,3132,17226,0,39.763076305389404
3.38305,6,41006,True,81.12573626020043,100,805399,81.12573626020043,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,631,612,19,1224,1224,6732,0,21.930368661880493
3.38305,7,41007,True,424.91423275832614,100,1083794,424.91423275832614,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,1563,1537,26,3074,3074,16907,0,33.76716947555542
3.38305,8,41008,True,120.33939134616708,100,1140191,120.33939134616708,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,954,859,95,1718,1718,9449,0,39.97185397148132
3.38305,9,41009,True,75.18455851536321,100,876599,75.18455851536321,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,689,666,23,1332,1332,7326,0,29.24681282043457
3.38305,10,41010,True,57.94558807428213,100,1131910,57.94558807428213,0.0059403990514164656,0.559472067535086,0.9922503082161116,8.774444810421032,0.993154542569492,2.07544303172432,0.993154542569492,0.9922503082161116,0.9940596009485836,0.08913312255962502,multisite_first_binding_only,780,753,27,1506,1506,8283,0,39.29489040374756
