zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
0.1,0,41000,True,51.6079210260357,101,147648,51.6079210260357,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,734,683,51,1366,1366,7511,1,7.705115556716919
0.1,1,41001,True,29.826606824062296,100,213641,29.826606824062296,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,856,804,52,1608,1608,8844,0,10.544679880142212
0.1,2,41002,True,8.58146285825771,101,209729,8.58146285825771,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,685,635,50,1270,1270,6985,0,9.657371044158936
0.1,3,41003,True,4.404903125227722,100,180564,4.404903125227722,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,629,532,97,1064,1064,5852,0,9.454941272735596
0.1,4,41004,True,55.429736216799796,101,247157,55.429736216799796,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,1119,1053,66,2106,2106,11583,0,12.289306402206421
0.1,5,41005,True,19.708787395695744,100,162630,19.708787395695744,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,619,600,19,1200,1200,6600,0,7.511873245239258
0.1,6,41006,True,48.615100241975455,100,274168,48.615100241975455,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,1138,1080,58,2160,2160,11880,0,13.12613844871521
0.1,7,41007,True,22.145089573377305,100,149195,22.145089573377305,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,582,544,38,1088,1088,5984,0,7.426772117614746
0.1,8,41008,True,21.735439395173195,100,138102,21.735439395173195,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,615,576,39,1152,1152,6336,0,6.884782314300537
0.1,9,41009,True,14.873135619934008,100,161900,14.873135619934008,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,622,558,64,1116,1116,6138,0,8.193234920501709
0.1,10,41010,True,18.346403729039093,100,123567,18.346403729039093,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,547,490,57,980,980,5390,0,6.915575265884399
0.1,11,41011,True,15.280274251296568,101,204485,15.280274251296568,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,713,661,52,1322,1322,7271,0,9.770721673965454
0.1,12,41012,True,115.30466471908429,100,241909,115.30466471908429,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,1350,1277,73,2554,2554,14047,0,13.15185832977295
0.1,13,41013,True,11.34644854714234,100,159285,11.34644854714234,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,594,535,59,1070,1070,5885,0,8.393062591552734
0.1,14,41014,True,160.48891999535908,100,249211,160.48891999535908,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,1724,1666,58,3332,3332,18324,1,13.977766275405884
0.1,15,41015,True,72.96640838098313,100,216897,72.96640838098313,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,1047,1011,36,2022,2022,11121,0,11.27687120437622
0.1,16,41016,True,20.411290452734487,100,197255,20.411290452734487,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,725,640,85,1280,1280,7040,0,10.3470938205719
0.1,17,41017,True,29.115286901502596,100,141565,29.115286901502596,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,608,509,99,1018,1018,5599,0,7.898542404174805
0.1,18,41018,True,19.586738966668747,100,158205,19.586738966668747,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,577,543,34,1086,1086,5973,0,7.609507083892822
0.1,19,41019,True,32.671389317283534,100,170215,32.671389317283534,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,785,682,103,1364,1364,7502,0,8.843053579330444
0.1,20,41020,True,9.662366756803408,100,203806,9.662366756803408,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,687,631,56,1262,1262,6939,1,9.062939882278442
0.1,21,41021,True,41.32365387200364,100,156045,41.32365387200364,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,759,648,111,1296,1296,7128,0,7.922581672668457
0.1,22,41022,True,36.75977710687788,100,146852,36.75977710687788,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,681,607,74,1214,1214,6677,0,6.9535675048828125
0.1,23,41023,True,11.428483800297712,100,268667,11.428483800297712,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,2.182025266690829,0.9906230484982507,0.9815054933913688,0.9998252998311717,0.20069447346828823,multisite_first_binding_only,846,759,87,1518,1518,8347,1,9.816679000854492
