zr,n,mean,median,std,q1,q3,iqr,smooth3_median
1,24,36.533812184110154,24.983326010083836,31.067100970246145,16.312863242222456,49.21270850278792,32.89984526056546,31.04018763775693
2,24,45.02882974086723,37.09704926543002,34.350272416179074,16.421953633767966,52.349101874401015,35.927148240633045,33.40478978521659
3,24,43.29943841323096,38.13399408013592,28.72641670150837,24.328121777217746,48.50243523758325,24.174313460365504,32.972365513554145
4,24,29.965280493551088,23.686053195096473,22.165426045445553,12.88279282211301,43.931610348194546,31.048817526081535,32.33773083318939
5,24,39.42684828220216,35.19314522433577,25.335983227143778,14.11905465244124,62.45221167572036,48.33315702327912,28.164739601070114
6,24,29.404554273537194,25.61502038377811,18.602890169212866,14.320342787590418,42.84773711631639,28.52739432872597,29.24917840017115
7,24,36.163016145598,26.939369592399572,29.283091095950635,16.156871354639474,49.818935041374786,33.66206368673531,27.03480574801648
8,24,32.68933797765314,28.55002726787176,26.139943016568964,12.72345978165773,45.909492072286895,33.186032290629164,27.881911439590272
9,24,37.500803831353835,28.156337458499493,34.00815490357569,13.064096905204224,44.63407899173998,31.56998208653576,26.558511329142267
10,24,37.23381949127515,22.969169261055555,33.77333173940153,16.48968078956677,44.03423029190813,27.54454950234136,27.670451167844032
11,24,38.709460991404015,31.885846783977048,34.04302475674941,14.473236749530823,48.2102835741164,33.737046824585576,26.96819819503609
12,24,37.71082415902316,26.049578540075665,33.586448575577904,16.23507817806917,54.501602182026346,38.26652400395717,28.549748682545484
13,24,38.938500316427,27.71382072358374,30.796668341660254,13.695281707638625,65.51752414458515,51.822242436946524,27.281114911130675
14,24,36.682642422201674,28.079945469732618,29.2118376245025,10.87741862131453,49.824441232904654,38.94702261159013,29.749913800030892
15,24,48.55915862339023,33.455975206776316,44.15119056549168,14.900271888533602,65.51456894713806,50.61429705860446,29.658982317078085
16,24,35.388917330671624,27.441026274725317,24.443469693558708,15.900481423266939,55.38254295349894,39.482061530232,25.721515701466156
17,24,23.250289457035517,16.26754562289683,21.641683424911758,8.956894344548829,28.121482363578732,19.164588019029903,23.189207639150613
18,24,29.389926758387972,25.85905101982969,17.4803137818759,14.301521752366288,42.6256578080158,28.324136055649515,24.77701323363568
19,24,42.659014062379896,32.204443058180516,33.30547502013227,18.472615471102912,51.582265973748356,33.109650502645444,28.59945581101552
20,24,36.80199584027875,27.73487335503636,33.82648306120375,12.559846418428824,52.141178850694686,39.58133243226586,32.605840052725725
21,24,46.26878189623505,37.8782037449603,37.64368943281747,18.683966168062884,69.49652347607058,50.8125573080077,27.517232358542625
22,24,33.167595329289405,16.938619975631212,31.934870230350324,10.077428993712319,37.698542100975985,27.621113107263668,26.81658718695928
23,24,40.09479835571473,25.632937840286314,46.25964643759203,10.676616438089614,41.654289046372725,30.97767260828311,22.160786935164406
24,24,34.908355411195004,23.910802989575686,28.20276090279491,15.31150894563548,51.018896709441776,35.707387763806295,24.771870414931
