zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
1.0,0,41000,True,67.87838868653948,100,166079,67.87838868653948,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,888,851,37,1702,1702,9361,0,8.470968008041382
1.0,1,41001,True,21.747281661779738,100,159619,21.747281661779738,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,633,597,36,1194,1194,6567,0,7.5255796909332275
1.0,2,41002,True,25.466195150679074,100,124783,25.466195150679074,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,547,470,77,940,940,5170,0,6.384844779968262
1.0,3,41003,True,6.232580017382023,100,170977,6.232580017382023,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,574,548,26,1096,1096,6028,0,7.684414625167847
1.0,4,41004,True,47.081517969958085,101,184625,47.081517969958085,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,927,856,71,1712,1712,9416,0,9.23491382598877
1.0,5,41005,True,25.40593595638679,100,168546,25.40593595638679,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,689,645,44,1290,1290,7095,0,8.146540880203247
1.0,6,41006,True,12.51797606963357,100,188015,12.51797606963357,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,677,563,114,1126,1126,6193,0,9.563643217086792
1.0,7,41007,True,10.03316356955253,100,215570,10.03316356955253,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,764,623,141,1246,1246,6853,0,11.071979999542236
1.0,8,41008,True,24.560716063780884,101,191939,24.560716063780884,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,809,733,76,1466,1466,8063,0,9.95919394493103
1.0,9,41009,True,17.57782563308542,100,239563,17.57782563308542,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,824,782,42,1564,1564,8602,0,11.067567586898804
1.0,10,41010,True,116.6430272105853,100,187360,116.6430272105853,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,1327,1233,94,2466,2466,13563,0,10.63439679145813
1.0,11,41011,True,22.05243644792251,100,216164,22.05243644792251,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,780,717,63,1434,1434,7887,0,10.019320011138916
1.0,12,41012,True,18.785731919697792,100,242112,18.785731919697792,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,835,777,58,1554,1554,8547,0,11.462565660476685
1.0,13,41013,True,90.95466792913453,100,256087,90.95466792913453,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,1468,1404,64,2808,2808,15444,0,13.51522421836853
1.0,14,41014,True,107.67042299132584,101,155713,107.67042299132584,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,1127,1058,69,2116,2116,11638,0,9.1848783493042
1.0,15,41015,True,56.11357663853436,100,203031,56.11357663853436,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,963,882,81,1764,1764,9702,0,10.474008083343506
1.0,16,41016,True,30.29677637522179,100,119594,30.29677637522179,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,541,500,41,1000,1000,5500,0,6.498427629470825
1.0,17,41017,True,24.282836416539066,100,160430,24.282836416539066,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,614,557,57,1114,1114,6127,0,8.241053581237793
1.0,18,41018,True,55.60628010127745,101,201514,55.60628010127745,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,876,824,52,1648,1648,9064,0,10.293703556060791
1.0,19,41019,True,11.035525118625435,100,264001,11.035525118625435,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,861,795,66,1590,1590,8745,0,12.335013389587402
1.0,20,41020,True,11.554047485503466,100,225745,11.554047485503466,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,796,744,52,1488,1488,8184,0,11.024578332901001
1.0,21,41021,True,33.41227150363334,100,152213,33.41227150363334,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,655,625,30,1250,1250,6875,0,7.636373519897461
1.0,22,41022,True,30.09956520395777,100,253023,30.09956520395777,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,980,927,53,1854,1854,10197,0,12.227113723754883
1.0,23,41023,True,9.802746297907452,100,123456,9.802746297907452,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,2.180204893122071,0.989859577422661,0.981534074744567,0.998255698122713,0.2004151202547911,multisite_first_binding_only,388,362,26,724,724,3982,0,5.7096381187438965
2.0,0,41100,True,27.885914811933954,100,183645,27.885914811933954,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,751,679,72,1358,1358,7467,1,9.267463445663452
2.0,1,41101,True,22.36922096036746,101,174060,22.36922096036746,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,649,608,41,1216,1216,6686,1,8.41936707496643
2.0,2,41102,True,110.87903846526746,100,267348,110.87903846526746,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1452,1407,45,2814,2814,15477,0,13.653644800186157
2.0,3,41103,True,47.107383778107724,100,234777,47.107383778107724,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1079,1039,40,2078,2078,11429,0,11.327494621276855
2.0,4,41104,True,4.233365585232646,100,140754,4.233365585232646,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,527,447,80,894,894,4917,0,7.275424242019653
2.0,5,41105,True,13.571633943102782,100,203741,13.571633943102782,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,660,615,45,1230,1230,6765,0,9.140141010284424
2.0,6,41106,True,10.987640491930275,100,255121,10.987640491930275,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,892,847,45,1694,1694,9317,0,11.862799882888794
2.0,7,41107,True,34.40550338336961,100,197421,34.40550338336961,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,734,698,36,1396,1396,7678,0,9.130561113357544
2.0,8,41108,True,15.9395770044437,100,225025,15.9395770044437,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,831,758,73,1516,1516,8336,1,10.510097026824951
2.0,9,41109,True,89.55769155969274,100,261011,89.55769155969274,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1339,1280,59,2560,2560,14078,1,12.66838788986206
2.0,10,41110,True,59.55900352805126,100,190719,59.55900352805126,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,986,928,58,1856,1856,10208,0,9.720509052276611
2.0,11,41111,True,47.9130325033116,100,143300,47.9130325033116,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,782,689,93,1378,1378,7579,0,7.95161771774292
2.0,12,41112,True,39.78859514749043,100,201184,39.78859514749043,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,863,818,45,1636,1636,8998,0,9.988346576690674
2.0,13,41113,True,13.86035528026315,100,191928,13.86035528026315,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,610,566,44,1132,1132,6226,0,8.705744981765747
2.0,14,41114,True,134.6662544515002,100,235908,134.6662544515002,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1555,1474,81,2948,2948,16214,0,12.676660776138306
2.0,15,41115,True,34.21851874150935,100,227334,34.21851874150935,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,920,859,61,1718,1718,9449,0,11.008404016494751
2.0,16,41116,True,45.56612269141301,100,186927,45.56612269141301,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,840,763,77,1526,1526,8393,0,9.75308632850647
2.0,17,41117,True,43.96702624708479,100,154839,43.96702624708479,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,717,681,36,1362,1362,7489,1,7.654558897018433
2.0,18,41118,True,49.94580132318427,100,116093,49.94580132318427,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,693,639,54,1278,1278,7029,0,6.527050256729126
2.0,19,41119,True,16.58274584354272,100,241720,16.58274584354272,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,806,730,76,1460,1460,8028,1,11.18691873550415
2.0,20,41120,True,31.224372391482657,100,308936,31.224372391482657,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1039,969,70,1938,1938,10659,0,13.9494309425354
2.0,21,41121,True,82.46049616707988,100,175205,82.46049616707988,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1099,1040,59,2080,2080,11440,0,9.862772226333618
2.0,22,41122,True,92.88191695186988,100,202844,92.88191695186988,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,1188,1127,61,2254,2254,12397,0,10.731213331222534
2.0,23,41123,True,11.120702529581969,100,241673,11.120702529581969,0.0034826234067485886,0.3271885766679077,0.981565730003723,21.099117797812212,0.9890132993125774,2.178188724931681,0.9890132993125774,0.981565730003723,0.9965173765932515,0.20010561833470625,multisite_first_binding_only,777,722,55,1444,1444,7942,0,11.213645696640015
4.0,0,41200,True,41.820000587408735,100,168861,41.820000587408735,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,801,771,30,1542,1542,8481,0,8.229624271392822
4.0,1,41201,True,57.98080620318014,100,231886,57.98080620318014,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,1093,1035,58,2070,2070,11385,0,11.30375599861145
4.0,2,41202,True,33.24711136922845,100,146563,33.24711136922845,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,650,573,77,1146,1146,6303,0,7.591916084289551
4.0,3,41203,True,5.443847523210885,100,152955,5.443847523210885,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,516,447,69,894,894,4917,0,7.540148019790649
4.0,4,41204,True,4.590249982543747,101,147984,4.590249982543747,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,489,421,68,842,842,4631,0,8.289273023605347
4.0,5,41205,True,33.951550553565426,100,311499,33.951550553565426,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,1207,1143,64,2286,2286,12573,0,16.99183678627014
4.0,6,41206,True,51.82906819650884,100,168206,51.82906819650884,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,860,835,25,1670,1670,9185,0,10.142090559005737
4.0,7,41207,True,13.636373047758909,100,179644,13.636373047758909,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,638,585,53,1170,1170,6435,0,10.893519163131714
4.0,8,41208,True,19.95785800927942,101,290968,19.95785800927942,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,942,872,70,1744,1744,9590,1,16.241147756576538
4.0,9,41209,True,11.626000782489768,100,203635,11.626000782489768,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,680,605,75,1210,1210,6655,0,11.873400688171387
4.0,10,41210,True,76.39175162760046,100,151376,76.39175162760046,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,914,874,40,1748,1748,9614,0,9.901692152023315
4.0,11,41211,True,61.642099835975834,100,185703,61.642099835975834,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,982,903,79,1806,1806,9931,1,12.226566553115845
4.0,12,41212,True,10.510477143077807,100,247222,10.510477143077807,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,769,706,63,1412,1412,7766,0,13.966769695281982
4.0,13,41213,True,13.301723501987425,100,143352,13.301723501987425,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,521,459,62,918,918,5049,0,8.619714736938477
4.0,14,41214,True,21.34158730482573,100,181526,21.34158730482573,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,718,679,39,1358,1358,7469,0,9.939342975616455
4.0,15,41215,True,20.550383494416973,100,138364,20.550383494416973,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,559,487,72,974,974,5357,0,8.20679759979248
4.0,16,41216,True,26.030519085367217,100,180042,26.030519085367217,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,674,621,53,1242,1242,6831,0,10.670835971832275
4.0,17,41217,True,50.266439630551986,100,146624,50.266439630551986,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,710,662,48,1324,1324,7282,0,9.771605730056763
4.0,18,41218,True,6.47901365852109,100,221255,6.47901365852109,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,748,658,90,1316,1316,7238,0,14.024112701416016
4.0,19,41219,True,30.344891237333627,100,182544,30.344891237333627,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,771,656,115,1312,1312,7216,0,12.974243640899658
4.0,20,41220,True,30.266724755483793,100,142946,30.266724755483793,0.006941446104819485,0.6544191474150505,0.9816287211225757,21.025884646777925,0.9873270979062412,2.1741766856523785,0.9873270979062412,0.9816287211225757,0.9930585538951805,0.19948941063462253,multisite_first_binding_only,632,554,78,1108,1108,6094,0,10.087504863739014
