zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
7.0,0,41000,True,52.17370979280368,100,161189,52.17370979280368,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,769,719,50,1438,1438,7909,0,7.256750583648682
7.0,1,41001,True,26.29612455808161,100,247412,26.29612455808161,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,942,805,137,1610,1610,8853,1,11.194865942001343
7.0,2,41002,True,9.315226750370853,100,158683,9.315226750370853,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,557,517,40,1034,1034,5687,0,6.632958650588989
7.0,3,41003,True,4.523506374368674,100,123546,4.523506374368674,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,381,357,24,714,714,3927,0,4.862830877304077
7.0,4,41004,True,43.0915735732131,100,243620,43.0915735732131,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,1058,996,62,1992,1992,10956,0,10.492148637771606
7.0,5,41005,True,31.178675327846754,100,251307,31.178675327846754,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,925,885,40,1770,1770,9735,0,10.371183633804321
7.0,6,41006,True,27.58261462671754,100,152888,27.58261462671754,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,652,580,72,1160,1160,6380,0,6.953755617141724
7.0,7,41007,True,53.18407071270291,100,174047,53.18407071270291,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,832,790,42,1580,1580,8690,0,8.058476686477661
7.0,8,41008,True,27.82946786698347,100,260579,27.82946786698347,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,941,871,70,1742,1742,9579,1,11.027334690093994
7.0,9,41009,True,20.084073580311728,100,215493,20.084073580311728,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,785,744,41,1488,1488,8184,0,9.020830869674683
7.0,10,41010,True,89.31164626675483,101,239506,89.31164626675483,0.012085576593813702,1.14534282005539,0.9817224171903342,20.916968718461998,0.9848135537874753,2.168208868753279,0.9848135537874753,0.9817224171903342,0.9879144234061863,0.19857202815675867,multisite_first_binding_only,1281,1227,54,2454,2454,13497,0,10.913283586502075
