zr_conc,runs,reach_fraction_target,mean_time_to_target_seconds,std_time_to_target_seconds,median_time_to_target_seconds,mean_final_entities,mean_simulated_time_seconds,mean_steps_executed,mean_prebound_fraction,mean_prebound_growth_attempts,mean_prebound_growth_successes,mean_prebound_growth_failures,mean_prebound_entities_added,mean_prebound_linkages_formed,mean_prebound_free_growth_site_delta,mean_prebound_ready_pair_delta
7.0,24,1.0,36.163016145598,29.283091095950635,26.939369592399572,100.16666666666667,36.163016145598,200402.75,0.012085576593813702,827.5416666666666,763.7916666666666,63.75,1527.5833333333333,1527.5833333333333,8401.375,0.16666666666666666
8.0,24,1.0,32.68933797765314,26.139943016568964,28.55002726787176,100.125,32.68933797765314,195217.95833333334,0.013788643726818817,797.25,737.875,59.375,1475.75,1475.75,8116.541666666667,0.041666666666666664
10.0,24,1.0,37.23381949127515,33.77333173940153,22.969169261055555,100.08333333333333,37.23381949127515,198722.66666666666,0.01717748800668426,818.2916666666666,763.7083333333334,54.583333333333336,1527.4166666666667,1527.4166666666667,8400.458333333334,0.16666666666666666
11.0,24,1.0,38.709460991404015,34.04302475674941,31.885846783977048,100.08333333333333,38.709460991404015,201174.95833333334,0.018863322673129873,837.4583333333334,768.4583333333334,69,1536.9166666666667,1536.9166666666667,8452.958333333334,0.041666666666666664
13.0,24,1.0,38.938500316427,30.796668341660254,27.71382072358374,100.125,38.938500316427,215902.54166666666,0.022217959450008134,856.25,799.4166666666666,56.833333333333336,1598.8333333333333,1598.8333333333333,8793.416666666666,0.08333333333333333
14.0,24,1.0,36.682642422201674,29.2118376245025,28.079945469732618,100.08333333333333,36.682642422201674,218590.75,0.023886817959942568,851.7916666666666,789.0416666666666,62.75,1578.0833333333333,1578.0833333333333,8679.041666666666,0.20833333333333334
15.0,24,1.0,48.55915862339023,44.15119056549168,33.455975206776316,100.04166666666667,48.55915862339023,205160.54166666666,0.02555007384462831,916.5,845.7083333333334,70.79166666666667,1691.4166666666667,1691.4166666666667,9302.708333333334,0.041666666666666664
17.0,24,1.0,23.250289457035517,21.641683424911758,16.26754562289683,100.125,23.250289457035517,193079.54166666666,0.028859888530530134,714.125,659.875,54.25,1319.75,1319.75,7258.458333333333,0.08333333333333333
18.0,24,1.0,29.389926758387972,17.4803137818759,25.85905101982969,100,29.389926758387972,205216.29166666666,0.030506502279201063,768.4583333333334,700.625,67.83333333333333,1401.25,1401.25,7706.541666666667,0.16666666666666666
19.0,24,1.0,42.659014062379896,33.30547502013227,32.204443058180516,100.125,42.659014062379896,202755.5,0.03214762330038899,850.4583333333334,784.2083333333334,66.25,1568.4166666666667,1568.4166666666667,8626.208333333334,0.041666666666666664
21.0,24,1.0,46.26878189623505,37.64368943281747,37.8782037449603,100.08333333333333,46.26878189623505,194543.5,0.03541349511171404,845.1666666666666,784.5,60.666666666666664,1569,1569,8629.416666666666,0.041666666666666664
22.0,24,1.0,33.167595329289405,31.934870230350324,16.938619975631212,100.125,33.167595329289405,210331.33333333334,0.03703829944296063,798.4166666666666,735.0833333333334,63.333333333333336,1470.1666666666667,1470.1666666666667,8085.5,0.20833333333333334
23.0,24,1.0,40.09479835571473,46.25964643759203,25.632937840286314,100.04166666666667,40.09479835571473,207820.375,0.03865771813169376,823.9583333333334,767.8333333333334,56.125,1535.6666666666667,1535.6666666666667,8445.916666666666,0.125
