,filename,dir_path,SBU_count,BTB_count,plane_count,ellipse_a,ellipse_b,Zr,FA,L,Ratio,Step,Index,SC,KC,plane_area_0,plane_area_1,plane_area_2,plane_area_3,plane_area_4,plane_area_5,plane_area_6,plane_area_7,plane_area_8,plane_area_9,plane_area_10,plane_area_11,plane_area_12
assembly_7386.742122435321.mol2,assembly_7386.742122435321.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_6.012061879229849_FA_5527.308354606209_L_32.33764239003473_Ratio_0.6_Step_1e15.0_Index_3_SC_1.314036643522636_KC_1.539429411934415_2025-08-18_22_52_29,107.0,269.0,6,71.84829168383064,66.53857606828139,6.012061879229849,5527.308354606209,32.33764239003473,0.6,1e15.0,3.0,1.314036643522636,1.539429411934415,14837.026317242733,12301.016880081526,8444.064721946159,10152.57806553724,10400.26673161503,6745.110471073134,,,,,,,
assembly_8362.125817489265.mol2,assembly_8362.125817489265.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_39.30539095724224_FA_6864.859044082482_L_21.78260559825158_Ratio_0.6_Step_1e15.0_Index_1_SC_0.5494244724104449_KC_1.000618852294717_2025-08-18_22_52_34,116.0,237.0,2,120.80877580918687,96.75002923574186,39.30539095724224,6864.859044082482,21.78260559825158,0.6,1e15.0,1.0,0.5494244724104449,1.000618852294717,40850.93968230259,7143.004215498256,,,,,,,,,,,
assembly_11719.294832898417.mol2,assembly_11719.294832898417.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_23.51473516375187_FA_14486.64624330687_L_28.22501429085254_Ratio_0.6_Step_1e15.0_Index_1_SC_1.449714838985524_KC_1.72260712693314_2025-08-18_22_52_29,124.0,258.0,3,97.92432619022563,85.34819023558468,23.51473516375187,14486.64624330687,28.22501429085254,0.6,1e15.0,1.0,1.449714838985524,1.72260712693314,29338.586060402467,14675.96949815846,11966.125525266127,,,,,,,,,,
assembly_30529.81086549918.mol2,assembly_30529.81086549918.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_13.53713225647785_FA_18486.20625641218_L_14.4297900827477_Ratio_0.6_Step_1e15.0_Index_0_SC_1.819578876270197_KC_1.76540575252276_2025-08-18_22_52_35,46.0,92.0,1,82.24611951131342,64.88535337621578,13.53713225647785,18486.20625641218,14.4297900827477,0.6,1e15.0,0.0,1.819578876270197,1.76540575252276,18157.43221916953,,,,,,,,,,,,
assembly_889.4922908858479.mol2,assembly_889.4922908858479.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_20.96479499188878_FA_1762.775325444341_L_10.74149111543077_Ratio_0.6_Step_1e15.0_Index_1_SC_0.5570191434396956_KC_0.8927706030191717_2025-08-18_22_52_29,238.0,514.0,2,159.8274516233561,129.97325255988866,20.96479499188878,1762.775325444341,10.74149111543077,0.6,1e15.0,1.0,0.5570191434396956,0.8927706030191717,66362.27793765032,7690.479062974053,,,,,,,,,,,
assembly_2899.9518489986667.mol2,assembly_2899.9518489986667.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_44.59025958861795_FA_13543.54929287599_L_20.6176724740466_Ratio_0.6_Step_1e15.0_Index_0_SC_1.770992064363919_KC_1.131166541867404_2025-08-18_22_52_30,79.0,156.0,1,113.91089828962303,86.75961443335606,44.59025958861795,13543.54929287599,20.6176724740466,0.6,1e15.0,0.0,1.770992064363919,1.131166541867404,31109.336960211913,,,,,,,,,,,,
assembly_9547.329067810302.mol2,assembly_9547.329067810302.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_40.26122417495348_FA_3416.872939001906_L_4.149324690592437_Ratio_0.6_Step_1e15.0_Index_1_SC_1.136195879630367_KC_0.4496024927297274_2025-08-18_22_52_30,36.0,69.0,1,69.58430135485055,54.07683257513273,40.26122417495348,3416.872939001906,4.149324690592437,0.6,1e15.0,1.0,1.136195879630367,0.4496024927297274,14107.92932648779,,,,,,,,,,,,
assembly_1164.0631220627713.mol2,assembly_1164.0631220627713.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_22.37264965392409_FA_7061.186729241121_L_21.17285487779732_Ratio_0.6_Step_1e15.0_Index_2_SC_0.6230308901982557_KC_1.613546572204811_2025-08-18_22_52_36,172.0,375.0,5,113.87102868435939,85.3435962719276,22.37264965392409,7061.186729241121,21.17285487779732,0.6,1e15.0,2.0,0.6230308901982557,1.613546572204811,29598.461234237777,14964.37178421087,16403.328023915077,16995.80784591927,13286.782963538428,,,,,,,,
assembly_29519.093938171507.mol2,assembly_29519.093938171507.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_17.3855224813026_FA_12826.11948455204_L_8.627121337026537_Ratio_0.6_Step_1e15.0_Index_3_SC_1.380348609456862_KC_1.499552718349476_2025-08-18_22_52_36,30.0,56.0,1,64.31827031236553,55.64939201472105,17.3855224813026,12826.11948455204,8.627121337026537,0.6,1e15.0,3.0,1.380348609456862,1.499552718349476,11841.567786372525,,,,,,,,,,,,
assembly_29963.3127111794.mol2,assembly_29963.3127111794.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_37.80126429471234_FA_19363.18229886624_L_8.29676600153348_Ratio_0.6_Step_1e15.0_Index_2_SC_0.9462261896499998_KC_0.9234756926318602_2025-08-18_22_52_31,8.0,14.0,1,35.48196063056095,26.51292000693833,37.80126429471234,19363.18229886624,8.29676600153348,0.6,1e15.0,2.0,0.9462261896499998,0.9234756926318602,3040.828180205469,,,,,,,,,,,,
