label,file_name,total_entities,total_bdc,total_zr,missing_bdc_sites,missing_zr_sites,filled_bdc_sites,filled_zr_sites,bdc_fill,zr_fill
reference_seed,UiO-66_R3_Mixeddef_0.40_seed800.pkl,2124,1857,267,591,54,0,0,0.0,0.0
same_condition_continuation,assembly_2026-04-03_15-42-09_entity_number_2200.pkl,2200,1884,316,591,54,18,11,0.030456852791878174,0.2037037037037037
same_condition_continuation,assembly_2026-04-03_15-42-10_entity_number_2300.pkl,2300,1928,372,591,54,45,33,0.07614213197969544,0.6111111111111112
same_condition_continuation,assembly_2026-04-03_15-42-10_entity_number_2400.pkl,2400,1963,437,591,54,63,41,0.1065989847715736,0.7592592592592593
same_condition_continuation,assembly_2026-04-03_15-42-11_entity_number_2500.pkl,2500,2003,497,591,54,81,49,0.13705583756345177,0.9074074074074074
same_condition_continuation,assembly_2026-04-03_15-42-12_entity_number_2600.pkl,2600,2059,541,591,54,107,50,0.18104906937394247,0.9259259259259259
same_condition_continuation,assembly_2026-04-03_15-42-12_entity_number_2700.pkl,2700,2105,595,591,54,121,53,0.20473773265651438,0.9814814814814815
tracked_milestone,assembly_2026-04-03_15-42-13_entity_number_2800.pkl,2800,2153,647,591,54,132,54,0.2233502538071066,1.0
same_condition_continuation,assembly_2026-04-03_15-42-14_entity_number_2900.pkl,2900,2222,678,591,54,154,54,0.26057529610829105,1.0
same_condition_continuation,assembly_2026-04-03_15-42-14_entity_number_3000.pkl,3000,2291,709,591,54,169,54,0.2859560067681895,1.0
same_condition_continuation,assembly_2026-04-03_15-42-15_entity_number_3100.pkl,3100,2361,739,591,54,184,54,0.311336717428088,1.0
same_condition_continuation,assembly_2026-04-03_15-42-16_entity_number_3200.pkl,3200,2426,774,591,54,198,54,0.3350253807106599,1.0
same_condition_continuation,assembly_2026-04-03_15-42-16_entity_number_3300.pkl,3300,2495,805,591,54,210,54,0.3553299492385787,1.0
same_condition_continuation,assembly_2026-04-03_15-42-17_entity_number_3400.pkl,3400,2566,834,591,54,220,54,0.37225042301184436,1.0
same_condition_continuation,assembly_2026-04-03_15-42-18_entity_number_3500.pkl,3500,2630,870,591,54,226,54,0.3824027072758037,1.0
same_condition_continuation,assembly_2026-04-03_15-42-18_entity_number_3600.pkl,3600,2699,901,591,54,236,54,0.3993231810490694,1.0
same_condition_continuation,assembly_2026-04-03_15-42-19_entity_number_3700.pkl,3700,2770,930,591,54,247,54,0.4179357021996616,1.0
same_condition_continuation,assembly_2026-04-03_15-42-20_entity_number_3800.pkl,3800,2841,959,591,54,259,54,0.43824027072758037,1.0
same_condition_continuation,assembly_2026-04-03_15-42-21_entity_number_3900.pkl,3900,2910,990,591,54,272,54,0.4602368866328257,1.0
same_condition_continuation,assembly_2026-04-03_15-42-22_entity_number_4000.pkl,4000,2978,1022,591,54,284,54,0.4805414551607445,1.0
same_condition_continuation,assembly_2026-04-03_15-42-23_entity_number_4100.pkl,4100,3043,1057,591,54,291,54,0.49238578680203043,1.0
same_condition_continuation,assembly_2026-04-03_15-42-23_entity_number_4200.pkl,4200,3114,1086,591,54,299,54,0.505922165820643,1.0
