sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-19_13-01_625396.0,0,0,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c89a3ad0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,1,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8987b90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,2,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca89dac0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,3,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c895a3c0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,4,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88dd490>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,5,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cdc6d9d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,6,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88ff950>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,7,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8abcbc0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,8,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca5b6930>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,9,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88feae0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,10,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca2fb6b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,11,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8abd880>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,12,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c89a3f50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,13,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca89eb70>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,14,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c9bac3b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,15,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca9a8860>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,16,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca5b53d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,17,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c895ad80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,18,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cdc5b560>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,19,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca2e7710>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,20,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cb229a60>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,21,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca51de80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,22,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8984620>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,23,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca5b71d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,24,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca944c50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,25,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8987e00>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,26,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cdc6f0e0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,27,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca51ebd0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,28,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca8a4c80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,29,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c9337c50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,30,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c891f260>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,31,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c895b980>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,32,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88ded80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,33,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8aa0470>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,34,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca5b6bd0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,35,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88dc8f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,36,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca8a76e0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,37,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca9a9c10>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,38,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca324f50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,39,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cb291a30>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,40,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca8ecc50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,41,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca89cb90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,42,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c895be90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,43,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c891ce00>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,44,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c89a31a0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,45,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca2f99a0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,46,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c89869f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,47,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca3274d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,48,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c88fea20>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,49,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8aa0b90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,50,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928c8abea80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,51,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cdad6060>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,52,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca52c4a0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_13-01_625396.0,0,53,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928ca2e48c0>>,BDC,,Linker_free_carboxylates,,,
