sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Zr_count,entity_Ligand_count
assembly_2025-11-19_13-01_625396.0,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-01_625396.0.pkl,3001,401,155,4266,3852,570,3282,4320,0,556,2445
assembly_2025-11-19_13-03-46_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-03-46_entity_number_200.pkl,200,26,9,264,262,59,203,271,0,35,165
assembly_2025-11-19_13-11-46_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-11-46_entity_number_400.pkl,400,54,18,540,510,97,413,559,0,72,328
assembly_2025-11-19_13-29-27_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-29-27_entity_number_600.pkl,600,83,24,786,726,142,584,844,0,107,493
assembly_2025-11-19_13-53-13_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-53-13_entity_number_800.pkl,800,109,37,1098,1010,172,838,1136,0,146,654
assembly_2025-11-19_14-31-27_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_14-31-27_entity_number_1000.pkl,1000,134,46,1356,1224,214,1010,1426,0,180,820
assembly_2025-11-19_15-28-01_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_15-28-01_entity_number_1200.pkl,1200,156,60,1656,1476,246,1230,1722,0,216,984
assembly_2025-11-19_17-08-46_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_17-08-46_entity_number_1400.pkl,1400,182,70,1932,1706,279,1427,2017,0,252,1148
assembly_2025-11-19_18-26-14_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_18-26-14_entity_number_1600.pkl,1600,203,84,2226,1984,331,1653,2295,0,287,1313
assembly_2025-11-19_20-16-51_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_20-16-51_entity_number_1800.pkl,1800,225,98,2526,2254,372,1882,2582,0,323,1477
assembly_2025-11-19_22-03-05_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_22-03-05_entity_number_2000.pkl,2000,256,111,2868,2598,397,2201,2869,0,367,1633
assembly_2025-11-20_00-27-06_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_00-27-06_entity_number_2200.pkl,2200,286,115,3096,2766,431,2335,3167,0,401,1799
assembly_2025-11-20_03-22-27_entity_number_2400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_03-22-27_entity_number_2400.pkl,2400,308,132,3432,3094,471,2623,3449,0,440,1960
assembly_2025-11-20_05-40-30_entity_number_2600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_05-40-30_entity_number_2600.pkl,2600,336,139,3684,3314,515,2799,3735,0,475,2125
assembly_2025-11-20_08-09-34_entity_number_2800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_08-09-34_entity_number_2800.pkl,2800,365,144,3918,3544,577,2967,4005,0,509,2291
assembly_2025-11-20_12-09-08_entity_number_3000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_12-09-08_entity_number_3000.pkl,3000,401,155,4266,3852,569,3283,4319,0,556,2444
