sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-19_12-35_646289.0,0,0,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd777260>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,1,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd8f1220>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,2,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd9482c0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,3,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd6c9100>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,4,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd756fc0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,5,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd7aeea0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,6,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd4ecf80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,7,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd5dde80>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,8,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd96b980>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-19_12-35_646289.0,0,9,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x7928cd86b5c0>>,BDC,,Linker_free_carboxylates,,,
