sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Zr_count,entity_Ligand_count
assembly_2025-11-19_12-35_646289.0,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_12-35_646289.0.pkl,3001,379,182,4458,4222,639,3583,4241,0,561,2440
assembly_2025-11-19_12-39-10_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_12-39-10_entity_number_200.pkl,200,30,9,288,328,64,264,258,0,39,161
assembly_2025-11-19_12-48-03_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_12-48-03_entity_number_400.pkl,400,58,18,564,594,111,483,537,0,76,324
assembly_2025-11-19_12-57-28_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_12-57-28_entity_number_600.pkl,600,83,29,846,850,154,696,822,0,112,488
assembly_2025-11-19_13-17-07_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-17-07_entity_number_800.pkl,800,101,47,1170,1140,193,947,1111,0,148,652
assembly_2025-11-19_13-47-46_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_13-47-46_entity_number_1000.pkl,1000,123,57,1422,1362,250,1112,1390,0,180,820
assembly_2025-11-19_14-17-00_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_14-17-00_entity_number_1200.pkl,1200,153,64,1686,1590,284,1306,1682,0,217,983
assembly_2025-11-19_14-59-59_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_14-59-59_entity_number_1400.pkl,1400,177,78,1998,1896,329,1567,1961,0,255,1145
assembly_2025-11-19_16-05-47_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_16-05-47_entity_number_1600.pkl,1600,201,95,2346,2202,344,1858,2264,0,296,1304
assembly_2025-11-19_17-17-45_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_17-17-45_entity_number_1800.pkl,1800,223,106,2610,2430,394,2036,2548,0,329,1471
assembly_2025-11-19_19-05-26_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_19-05-26_entity_number_2000.pkl,2000,250,119,2928,2760,440,2320,2822,0,369,1631
assembly_2025-11-19_21-22-02_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_21-22-02_entity_number_2200.pkl,2200,273,133,3234,3038,478,2560,3110,0,406,1794
assembly_2025-11-19_23-53-42_entity_number_2400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-19_23-53-42_entity_number_2400.pkl,2400,293,148,3534,3320,529,2791,3389,0,441,1959
assembly_2025-11-20_03-52-22_entity_number_2600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_03-52-22_entity_number_2600.pkl,2600,315,160,3810,3560,575,2985,3675,0,475,2125
assembly_2025-11-20_08-30-54_entity_number_2800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_08-30-54_entity_number_2800.pkl,2800,347,171,4134,3884,603,3281,3961,0,518,2282
assembly_2025-11-20_14-02-40_entity_number_3000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_3e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-20_14-02-40_entity_number_3000.pkl,3000,379,182,4458,4222,638,3584,4240,0,561,2439
