sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-17_20-14-31_entity_number_200,0,0,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c88ad0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,1,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b40ffbeb10>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,2,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c883b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,3,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4143863c0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,4,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4143853d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,5,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4143842f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,6,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b414384050>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,7,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c89730>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,8,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b414384ce0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,9,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c8bb30>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,10,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c89af0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,11,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b40ffbe0c0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,12,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c8be90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-14-31_entity_number_200,0,13,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b410c8b470>>,BDC,,Linker_free_carboxylates,,,
