sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Zr_count,entity_Ligand_count
assembly_2025-11-17_20-14-31_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-14-31_entity_number_200.pkl,200,16,18,312,328,72,256,260,0,34,166
assembly_2025-11-17_20-30-25_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-30-25_entity_number_400.pkl,400,33,36,630,630,124,506,538,0,69,331
assembly_2025-11-17_20-56-44_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-56-44_entity_number_600.pkl,600,40,63,996,982,181,801,813,0,103,497
assembly_2025-11-17_21-34-14_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-34-14_entity_number_800.pkl,800,58,82,1332,1320,234,1086,1086,0,140,660
assembly_2025-11-17_22-52-53_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_22-52-53_entity_number_1000.pkl,1000,74,107,1728,1730,277,1453,1361,0,181,819
assembly_2025-11-18_00-05-05_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_00-05-05_entity_number_1200.pkl,1200,91,126,2058,2072,339,1733,1627,0,217,983
assembly_2025-11-18_01-31-42_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_01-31-42_entity_number_1400.pkl,1400,107,147,2406,2432,397,2035,1895,0,254,1146
assembly_2025-11-18_03-49-07_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_03-49-07_entity_number_1600.pkl,1600,122,172,2796,2822,437,2385,2175,0,294,1306
assembly_2025-11-18_06-28-54_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_06-28-54_entity_number_1800.pkl,1800,142,193,3168,3212,482,2730,2448,0,335,1465
assembly_2025-11-18_09-16-09_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_09-16-09_entity_number_2000.pkl,2000,155,212,3474,3516,553,2963,2713,0,367,1633
assembly_2025-11-18_14-22-12_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_14-22-12_entity_number_2200.pkl,2200,173,231,3810,3852,605,3247,2987,0,404,1796
assembly_2025-11-18_19-36-24_entity_number_2400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_19-36-24_entity_number_2400.pkl,2400,193,249,4146,4204,661,3543,3255,0,442,1958
