sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-17_20-16-35_entity_number_200,0,0,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412d77680>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,1,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412d74b00>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,2,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9c1d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,3,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9cfe0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,4,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c48170>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,5,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9f3b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,6,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412d779b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,7,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c48200>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,8,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9e360>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,9,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9d400>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-16-35_entity_number_200,0,10,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b412c9eff0>>,BDC,,Linker_free_carboxylates,,,
