sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Zr_count,entity_Ligand_count
assembly_2025-11-17_20-16-35_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-16-35_entity_number_200.pkl,200,15,21,342,374,72,302,256,0,36,164
assembly_2025-11-17_20-31-23_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-31-23_entity_number_400.pkl,400,33,39,666,702,130,572,526,0,72,328
assembly_2025-11-17_20-59-34_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-59-34_entity_number_600.pkl,600,53,55,978,1006,182,824,802,0,108,492
assembly_2025-11-17_21-44-12_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-44-12_entity_number_800.pkl,800,77,70,1302,1316,219,1097,1087,0,147,653
assembly_2025-11-17_22-48-42_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_22-48-42_entity_number_1000.pkl,1000,89,92,1638,1628,271,1357,1367,0,181,819
assembly_2025-11-18_00-02-27_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_00-02-27_entity_number_1200.pkl,1200,112,108,1968,1938,305,1633,1655,0,220,980
assembly_2025-11-18_01-02-07_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_01-02-07_entity_number_1400.pkl,1400,130,124,2268,2262,381,1881,1911,0,254,1146
assembly_2025-11-18_03-36-21_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_03-36-21_entity_number_1600.pkl,1600,147,150,2682,2678,410,2268,2196,0,297,1303
assembly_2025-11-18_06-12-27_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_06-12-27_entity_number_1800.pkl,1800,163,167,2982,2988,483,2505,2457,0,330,1470
assembly_2025-11-18_09-35-12_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_09-35-12_entity_number_2000.pkl,2000,182,188,3348,3356,524,2832,2736,0,370,1630
