sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-17_20-17-04_entity_number_200,0,0,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521f4d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,1,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151cfe90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,2,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152416d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,3,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241070>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,4,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521d730>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,5,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e870>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,6,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152412b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,7,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e39b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,8,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242810>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,9,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241eb0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,10,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521d970>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,11,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415200530>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,12,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152413d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,13,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240470>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,14,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415202c30>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,15,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e6f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,16,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415203d70>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,17,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415201b50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,18,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152035f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,19,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242ff0>>,BDC,,Linker_free_carboxylates,,,
