sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Ligand_count,entity_Zr_count
assembly_2025-11-17_20-17-04_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-17-04_entity_number_200.pkl,200,18,19,336,378,73,305,253,0,163,37
assembly_2025-11-17_20-32-07_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-32-07_entity_number_400.pkl,400,38,35,648,678,123,555,531,0,327,73
assembly_2025-11-17_20-59-17_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-59-17_entity_number_600.pkl,600,54,53,960,986,185,801,801,0,493,107
assembly_2025-11-17_21-35-35_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-35-35_entity_number_800.pkl,800,78,67,1272,1312,240,1072,1070,0,655,145
assembly_2025-11-17_22-49-41_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_22-49-41_entity_number_1000.pkl,1000,94,91,1656,1698,281,1417,1349,0,815,185
assembly_2025-11-18_00-06-22_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_00-06-22_entity_number_1200.pkl,1200,107,115,2022,2086,344,1742,1612,0,978,222
assembly_2025-11-18_01-39-32_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_01-39-32_entity_number_1400.pkl,1400,124,135,2364,2406,385,2021,1897,0,1141,259
assembly_2025-11-18_03-41-14_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_03-41-14_entity_number_1600.pkl,1600,140,155,2700,2770,455,2315,2155,0,1305,295
assembly_2025-11-18_07-47-47_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_07-47-47_entity_number_1800.pkl,1800,157,172,3006,3038,500,2538,2442,0,1471,329
assembly_2025-11-18_11-28-46_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_11-28-46_entity_number_2000.pkl,2000,175,196,3402,3440,535,2905,2723,0,1629,371
assembly_2025-11-18_14-42-08_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_14-42-08_entity_number_2200.pkl,2200,185,217,3714,3762,616,3146,2980,0,1798,402
assembly_2025-11-18_19-42-00_entity_number_2400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_2e-10_Step_1e15_Index_0_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_19-42-00_entity_number_2400.pkl,2400,206,239,4104,4150,643,3507,3267,0,1955,445
