model,metric,value
legacy_rf_majority,roc_auc_majority,0.9103933948518699
legacy_rf_majority,brier_majority,0.10870733333333334
legacy_rf_majority,accuracy_majority,0.86
legacy_rf_majority,f1_majority,0.9078947368421053
legacy_rf_majority,rmse_vs_empirical_success_fraction,0.29600647515440154
legacy_rf_majority,spearman_vs_empirical_success_fraction,0.7035996657165262
legacy_rf_majority,pearson_vs_empirical_success_fraction,0.7512768816660385
survival_cox_majority,roc_auc_majority,0.850412821758135
survival_cox_majority,brier_majority,0.1580659656403087
survival_cox_majority,accuracy_majority,0.78
survival_cox_majority,f1_majority,0.8571428571428571
survival_cox_eventprob,rmse_vs_empirical_success_fraction,0.34471722757801454
survival_cox_eventprob,spearman_vs_empirical_success_fraction,0.5607277622660924
survival_cox_eventprob,pearson_vs_empirical_success_fraction,0.6012970094124231
survival_cox_replicate,mean_fold_c_index,0.7597605250921461
survival_cox_replicate,std_fold_c_index,0.03719597149415616
