zr_conc,time_seconds,survival_probability,n_at_risk,events_at_time,censored_at_time
2.0,0.0,1.0,24,0,0
2.0,3392.0074973256496,0.9583333333333334,24,1,0
2.0,5324.598362836174,0.9166666666666669,23,1,0
2.0,7243.065967679926,0.8750000000000001,22,1,0
2.0,9762.739956514844,0.8333333333333334,21,1,0
2.0,10191.198501792773,0.7916666666666666,20,1,0
4.0,0.0,1.0,24,0,0
4.0,926.5815877308552,0.9583333333333334,24,1,0
4.0,3438.9123888781005,0.9166666666666669,23,1,0
4.0,8372.504953598196,0.8750000000000001,22,1,0
4.0,261291.0910462025,0.8333333333333334,21,1,0
8.0,0.0,1.0,24,0,0
8.0,3810.5849384544,0.9583333333333334,24,1,0
8.0,5437.254267169469,0.9166666666666669,23,1,0
8.0,359626.4615647576,0.8750000000000001,22,1,0
8.0,667579.6136837066,0.8333333333333334,21,1,0
8.0,1100538.9329030036,0.7916666666666666,20,1,0
16.0,0.0,1.0,24,0,0
16.0,860.8257152127035,0.9583333333333334,24,1,0
16.0,12266.2878021649,0.9166666666666669,23,1,0
32.0,0.0,1.0,24,0,0
